tick,agent_id,agent_type,lineage_id,generation,cause
95,464,mother,1,0,starvation
99,463,child,0,1,hunger
99,465,child,1,1,hunger
99,467,child,2,1,hunger
99,469,child,3,1,hunger
99,471,child,4,1,hunger
99,473,child,5,1,hunger
99,475,child,6,1,hunger
99,477,child,7,1,hunger
99,479,child,8,1,hunger
99,481,child,9,1,hunger
99,483,child,10,1,hunger
99,485,child,11,1,hunger
99,487,child,12,1,hunger
99,489,child,13,1,hunger
99,491,child,14,1,hunger
99,493,child,15,1,hunger
99,495,child,16,1,hunger
99,497,child,17,1,hunger
99,499,child,18,1,hunger
99,501,child,19,1,hunger
99,503,child,20,1,hunger
99,505,child,21,1,hunger
99,507,child,22,1,hunger
99,509,child,23,1,hunger
99,511,child,24,1,hunger
99,513,child,25,1,hunger
103,512,mother,25,0,starvation
119,486,mother,12,0,starvation
171,478,mother,8,0,starvation
261,526,mother,12,1,starvation
279,500,mother,19,0,starvation
279,521,mother,7,1,starvation
290,534,mother,20,1,starvation
293,492,mother,15,0,starvation
300,514,mother,0,1,starvation
318,538,mother,24,1,starvation
319,484,mother,11,0,starvation
320,506,mother,22,0,starvation
323,520,mother,6,1,starvation
325,524,mother,10,1,starvation
326,462,mother,0,0,starvation
326,494,mother,16,0,starvation
332,480,mother,9,0,starvation
341,474,mother,6,0,starvation
359,482,mother,10,0,starvation
367,539,mother,25,1,starvation
386,532,mother,18,1,starvation
413,533,mother,19,1,starvation
419,476,mother,7,0,starvation
421,504,mother,21,0,starvation
443,529,mother,15,1,starvation
452,519,mother,5,1,starvation
462,510,mother,24,0,starvation
471,488,mother,13,0,starvation
475,536,mother,22,1,starvation
483,528,mother,14,1,starvation
496,502,mother,20,0,starvation
515,498,mother,18,0,starvation
517,518,mother,4,1,starvation
519,517,mother,3,1,starvation
520,490,mother,14,0,starvation
534,531,mother,17,1,starvation
534,537,mother,23,1,starvation
537,496,mother,17,0,starvation
544,515,mother,1,1,starvation
544,525,mother,11,1,starvation
545,516,mother,2,1,starvation
546,527,mother,13,1,starvation
565,522,mother,8,1,starvation
618,508,mother,23,0,starvation
635,535,mother,21,1,starvation
638,523,mother,9,1,starvation
646,468,mother,3,0,starvation
650,470,mother,4,0,starvation
655,472,mother,5,0,starvation
663,466,mother,2,0,starvation
675,530,mother,16,1,starvation
